tweet_id,jpg_url,img_num,pred_rank,pred_name,pred_conf,pred_correct,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,retweet_count,reply_count,like_count,quote_count,created_at
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p1,Redbone,0.506826,True,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,a,,39,0,112,0,2015-11-15 23:05:30+00:00
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p2,Miniature Pinscher,0.0741916999999999,True,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,a,,39,0,112,0,2015-11-15 23:05:30+00:00
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,p3,Rhodesian Ridgeback,0.07201,True,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,a,,39,0,112,0,2015-11-15 23:05:30+00:00
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p1,Rhodesian Ridgeback,0.408143,True,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,a,,115,1,247,2,2015-11-16 00:04:52+00:00
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p2,Redbone,0.360687,True,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,a,,115,1,247,2,2015-11-16 00:04:52+00:00
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,p3,Miniature Pinscher,0.222752,True,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,a,,115,1,247,2,2015-11-16 00:04:52+00:00
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,p1,Box Turtle,0.933012,False,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,an,,702,10,1027,1,2015-11-16 00:35:11+00:00
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,p2,Mud Turtle,0.0458854,False,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,an,,702,10,1027,1,2015-11-16 00:35:11+00:00
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,p3,Terrapin,0.0178852999999999,False,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,an,,702,10,1027,1,2015-11-16 00:35:11+00:00
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,p1,Shopping Cart,0.962465,False,2015-11-16 00:55:59+00:00,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,a,,112,2,248,0,2015-11-16 00:55:59+00:00
